Station,ID,Bikes Available,Docks Available
"River Street , Clerkenwell",BikePoints_1,2,15
"Phillimore Gardens, Kensington",BikePoints_2,5,30
"Christopher Street, Liverpool Street",BikePoints_3,20,12
"St. Chad's Street, King's Cross",BikePoints_4,13,10
"Sedding Street, Sloane Square",BikePoints_5,24,3
"Broadcasting House, Marylebone",BikePoints_6,16,0
"Charlbert Street, St. John's Wood",BikePoints_7,1,14
"Maida Vale, Maida Vale",BikePoints_8,2,36
"New Globe Walk, Bankside",BikePoints_9,7,12
"Park Street, Bankside",BikePoints_10,5,13
"Brunswick Square, Bloomsbury",BikePoints_11,15,9
"Malet Street, Bloomsbury",BikePoints_12,36,11
"Scala Street, Fitzrovia",BikePoints_13,21,0
"Argyle Street, Kings Cross",BikePoints_14,6,37
"Great Russell Street, Bloomsbury",BikePoints_15,25,0
"Cartwright Gardens , Bloomsbury",BikePoints_16,3,18
"Hatton Wall, Holborn",BikePoints_17,24,2
"Drury Lane, Covent Garden",BikePoints_18,22,2
"Taviton Street, Bloomsbury",BikePoints_19,8,22
"Drummond Street , Euston",BikePoints_20,7,20
"Lansdowne Drive, Hackney Central",BikePoints_21,0,26
"Northington Street , Holborn",BikePoints_22,15,4
"Red Lion Square, Holborn",BikePoints_23,15,1
"British Museum, Bloomsbury",BikePoints_24,32,3
"Doric Way , Somers Town",BikePoints_25,11,39
"Ampton Street , Clerkenwell",BikePoints_26,4,17
"Bouverie Street, Temple",BikePoints_27,33,0
"Bolsover Street, Fitzrovia",BikePoints_28,1,17
"Hereford Road, Bayswater",BikePoints_29,18,3
"Windsor Terrace, Hoxton",BikePoints_30,5,19
"Fanshaw Street, Hoxton",BikePoints_31,18,18
"Central House, Aldgate",BikePoints_33,1,17
"Pancras Road, King's Cross",BikePoints_34,2,14
"De Vere Gardens, Kensington",BikePoints_36,0,28
"Penywern Road, Earl's Court",BikePoints_37,2,15
"Abingdon Villas, Kensington",BikePoints_38,10,7
"Shoreditch High Street, Shoreditch",BikePoints_39,30,10
"Commercial Street, Shoreditch",BikePoints_40,13,3
"Pindar Street, Liverpool Street",BikePoints_41,24,0
"Wenlock Road , Hoxton",BikePoints_42,15,13
"Crawford Street, Marylebone",BikePoints_43,9,7
"Boston Place, Marylebone",BikePoints_45,3,22
"Nesham Street, Wapping",BikePoints_46,13,3
"Warwick Avenue Station, Maida Vale",BikePoints_47,0,19
"Godliman Street, St. Paul's",BikePoints_48,25,0
"Curzon Street, Mayfair",BikePoints_49,16,0
"East Road, Hoxton",BikePoints_50,27,0
"Finsbury Library , Finsbury",BikePoints_51,14,15
"Roscoe Street, St. Luke's",BikePoints_52,7,11
